Date,Gas,Water,Power In,Power Out,Power Gen,Power PV used,Power used,Power Car Stephan,Power Car Heike,Power Car Wink
2023-01-01,4110.0,45.0,-1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,4112.0,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,4115.0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,4120.0,48.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,4186.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-11,4251.0,55.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-29,4323.0,63.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-6-20,4345.3,79.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-27-08,4356.0,87.0,71.0,1502.0,25.0,17.0,17.0,0.0,0.0,54.0
2023-28-08,4356.0,87.0,71.0,1502.0,38.0,11.0,18.0,0.0,0.0,54.0
2023-29-08,4356.0,87.0,71.0,1502.0,30.0,13.0,17.0,0.0,0.0,54.0
2023-30-08,4356.0,87.0,71.0,1502.0,26.0,15.0,14.0,0.0,0.0,54.0
2023-31-08,4356.0,87.0,71.0,1502.0,28.0,17.0,23.0,0.0,0.0,54.0
2023-09-01,4356.0,87.0,71.0,1502.0,27.0,9.0,6.0,0.0,0.0,54.0
2023-09-02,4356.0,87.0,71.0,1502.0,21.0,7.0,8.0,0.0,0.0,54.0
2023-09-03,4356.0,87.0,71.0,1502.0,44.0,25.0,25.0,0.0,0.0,54.0
2023-09-04,4356.0,87.0,71.0,1502.0,43.0,16.0,16.0,0.0,0.0,54.0
2023-09-05,4356.0,87.0,71.0,1502.0,53.0,19.0,21.0,0.0,0.0,54.0
2023-09-06,4356.0,87.0,71.0,1502.0,53.0,17.0,19.0,0.0,0.0,54.0
2023-09-07,4356.0,87.0,71.0,1502.0,53.0,18.0,18.0,0.0,0.0,54.0
2023-09-08,4356.0,87.0,71.0,1502.0,53.0,9.0,7.0,0.0,0.0,54.0
2023-09-09,4356.0,87.0,71.0,1502.0,51.0,18.0,18.0,0.0,0.0,54.0
2023-09-10,4356.0,87.0,71.0,1502.0,49.0,17.0,18.0,0.0,0.0,54.0
2023-09-11,4356.0,87.0,71.0,1502.0,49.0,17.0,17.0,0.0,0.0,54.0
2023-09-12,4356.0,87.0,71.0,1502.0,10.0,10.0,15.0,0.0,0.0,54.0
2023-09-13,4356.0,87.0,71.0,1502.0,10.0,9.0,17.0,0.0,0.0,54.0
2023-09-14,4356.0,87.0,71.0,1502.0,44.0,16.0,19.0,0.0,0.0,54.0
2023-09-15,4356.0,87.0,71.0,1502.0,53.0,8.0,5.0,0.0,0.0,54.0
2023-09-16,4356.0,87.0,71.0,1502.0,51.0,5.0,5.0,0.0,0.0,54.0
2023-09-17,4356.0,87.0,71.0,1502.0,27.0,16.0,16.0,0.0,0.0,54.0
