Date,Gas,Water,Power In,Power Out,Power Gen,Power PV used,Power used,Power Car Stephan,Power Car Heike,Power Car Wink
2023-01-01,4110.0,45.0,-1914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,4112.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,4115.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,4120.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,4186.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-11,4251.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-29,4323.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-20,4345.3,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-28,4345.3,79.0,0.0,0.0,15.87,15.79,18.14,0.0,0.0,0.0
2023-06-29,4345.3,79.0,0.0,0.0,14.03,13.99,13.49,0.0,0.0,0.0
2023-06-30,4345.3,79.0,0.0,0.0,19.88,19.79,18.08,0.0,0.0,0.0
2023-07-01,4356.0,87.0,71.0,0.0,12.16,12.05,15.08,0.0,0.0,54.0
2023-07-02,4356.0,87.0,71.0,0.0,18.66,18.47,16.01,0.0,0.0,54.0
2023-07-03,4356.0,87.0,71.0,0.0,13.94,13.86,14.61,0.0,0.0,54.0
2023-07-04,4356.0,87.0,71.0,0.0,17.46,17.33,22.98,0.0,0.0,54.0
2023-07-05,4356.0,87.0,71.0,0.0,8.82,8.75,7.06,0.0,0.0,54.0
2023-07-06,4356.0,87.0,71.0,0.0,21.14,20.86,20.56,0.0,0.0,54.0
2023-07-07,4356.0,87.0,71.0,0.0,19.95,19.85,20.42,0.0,0.0,54.0
2023-07-08,4356.0,87.0,71.0,0.0,10.97,10.79,10.58,0.0,0.0,54.0
2023-07-09,4356.0,87.0,71.0,0.0,9.41,9.33,10.59,0.0,0.0,54.0
2023-07-10,4356.0,87.0,71.0,0.0,10.64,10.54,10.83,0.0,0.0,54.0
2023-07-11,4356.0,87.0,71.0,0.0,18.17,18.06,17.83,0.0,0.0,54.0
2023-07-12,4356.0,87.0,71.0,0.0,11.45,11.32,11.82,0.0,0.0,54.0
2023-07-13,4356.0,87.0,71.0,0.0,10.19,9.96,9.49,0.0,0.0,54.0
2023-07-14,4356.0,87.0,71.0,0.0,10.08,9.92,11.49,0.0,0.0,54.0
2023-07-15,4356.0,87.0,71.0,0.0,23.42,23.34,22.46,0.0,0.0,54.0
2023-07-16,4356.0,87.0,71.0,0.0,17.96,17.83,17.91,0.0,0.0,54.0
2023-07-17,4356.0,87.0,71.0,0.0,8.11,8.0,8.98,0.0,0.0,54.0
2023-07-18,4356.0,87.0,71.0,0.0,17.11,16.99,16.91,0.0,0.0,54.0
2023-07-19,4356.0,87.0,71.0,0.0,7.72,7.55,7.58,0.0,0.0,54.0
2023-07-20,4356.0,87.0,71.0,0.0,25.72,14.52,16.29,0.0,0.0,54.0
2023-07-21,4356.0,87.0,71.0,1502.0,31.51,13.67,12.79,0.0,0.0,54.0
2023-07-22,4356.0,87.0,71.0,1502.0,25.95,5.03,4.59,0.0,0.0,54.0
2023-07-23,4356.0,87.0,71.0,1502.0,18.03,4.61,4.24,0.0,0.0,54.0
2023-07-24,4356.0,87.0,71.0,1502.0,25.33,4.81,4.41,0.0,0.0,54.0
2023-07-25,4356.0,87.0,71.0,1502.0,32.85,4.58,4.36,0.0,0.0,54.0
2023-07-26,4356.0,87.0,71.0,1502.0,38.51,4.58,4.32,0.0,0.0,54.0
2023-07-27,4356.0,87.0,71.0,1502.0,11.16,4.03,4.02,0.0,0.0,54.0
2023-07-28,4356.0,87.0,71.0,1502.0,23.54,4.96,4.37,0.0,0.0,54.0
2023-07-29,4356.0,87.0,71.0,1502.0,36.66,4.72,4.43,0.0,0.0,54.0
2023-07-30,4356.0,87.0,71.0,1502.0,39.1,4.96,4.43,0.0,0.0,54.0
2023-07-31,4356.0,87.0,71.0,1502.0,10.64,4.33,4.23,0.0,0.0,54.0
2023-08-01,4356.0,87.0,71.0,1502.0,31.63,4.86,4.33,0.0,0.0,54.0
2023-08-02,4356.0,87.0,71.0,1502.0,15.36,4.31,4.17,0.0,0.0,54.0
2023-08-03,4356.0,87.0,71.0,1502.0,19.97,4.73,4.3,0.0,0.0,54.0
2023-08-04,4356.0,87.0,71.0,1502.0,35.12,4.53,4.29,0.0,0.0,54.0
2023-08-05,4356.0,87.0,71.0,1502.0,45.03,4.6,4.5,0.0,0.0,54.0
2023-08-06,4356.0,87.0,71.0,1502.0,44.84,5.0,4.63,0.0,0.0,54.0
2023-08-07,4356.0,87.0,71.0,1502.0,30.3,4.57,4.33,0.0,0.0,54.0
2023-08-08,4356.0,87.0,71.0,1502.0,33.31,4.8,4.26,0.0,0.0,54.0
2023-08-09,4356.0,87.0,71.0,1502.0,37.48,4.92,4.34,0.0,0.0,54.0
2023-08-10,4356.0,87.0,71.0,1502.0,51.86,4.97,4.59,0.0,0.0,54.0
2023-08-11,4356.0,87.0,71.0,1502.0,51.44,10.79,11.18,0.0,0.0,54.0
2023-08-12,4356.0,87.0,71.0,1502.0,18.44,14.73,18.73,0.0,0.0,54.0
2023-08-13,4356.0,87.0,71.0,1502.0,39.49,23.97,22.19,0.0,0.0,54.0
2023-08-14,4356.0,87.0,71.0,1502.0,36.54,13.66,13.42,0.0,0.0,54.0
2023-08-15,4356.0,87.0,71.0,1502.0,28.69,7.12,7.1,0.0,0.0,54.0
2023-08-16,4356.0,87.0,71.0,1502.0,33.53,16.63,17.2,0.0,0.0,54.0
2023-08-17,4356.0,87.0,71.0,1502.0,9.47,7.74,7.07,0.0,0.0,54.0
2023-08-18,4356.0,87.0,71.0,1502.0,51.56,17.4,17.21,0.0,0.0,54.0
2023-08-19,4356.0,87.0,71.0,1502.0,34.08,24.77,28.65,0.0,0.0,54.0
2023-08-20,4356.0,87.0,71.0,1502.0,47.81,18.8,16.46,0.0,0.0,54.0
2023-08-21,4356.0,87.0,71.0,1502.0,36.7,13.9,17.32,0.0,0.0,54.0
2023-08-22,4356.0,87.0,71.0,1502.0,38.47,13.77,16.83,0.0,0.0,54.0
2023-08-23,4356.0,87.0,71.0,1502.0,44.7,16.76,14.71,0.0,0.0,54.0
2023-08-24,4356.0,87.0,71.0,1502.0,42.89,16.41,18.0,0.0,0.0,54.0
2023-08-25,4356.0,87.0,71.0,1502.0,22.3,8.41,6.59,0.0,0.0,54.0
2023-08-26,4356.0,87.0,71.0,1502.0,48.24,21.0,20.93,0.0,0.0,54.0
2023-08-27,4356.0,87.0,71.0,1502.0,25.0,17.0,17.0,0.0,0.0,54.0
2023-08-28,4356.0,87.0,71.0,1502.0,38.0,11.0,18.0,0.0,0.0,54.0
2023-08-29,4356.0,87.0,71.0,1502.0,30.0,13.0,17.0,0.0,0.0,54.0
2023-08-30,4356.0,87.0,71.0,1502.0,26.0,15.0,14.0,0.0,0.0,54.0
2023-08-31,4356.0,87.0,71.0,1502.0,28.0,17.0,23.0,0.0,0.0,54.0
2023-09-01,4356.0,87.0,71.0,1502.0,27.0,9.0,6.0,0.0,0.0,54.0
2023-09-02,4356.0,87.0,71.0,1502.0,21.0,7.0,8.0,0.0,0.0,54.0
2023-09-03,4356.0,87.0,71.0,1502.0,44.0,25.0,25.0,0.0,0.0,54.0
2023-09-04,4356.0,87.0,71.0,1502.0,43.0,16.0,16.0,0.0,0.0,54.0
2023-09-05,4356.0,87.0,71.0,1502.0,53.0,19.0,21.0,0.0,0.0,54.0
2023-09-06,4356.0,87.0,71.0,1502.0,53.0,17.0,19.0,0.0,0.0,54.0
2023-09-07,4356.0,87.0,71.0,1502.0,53.0,18.0,18.0,0.0,0.0,54.0
2023-09-08,4356.0,87.0,71.0,1502.0,53.0,9.0,7.0,0.0,0.0,54.0
2023-09-09,4356.0,87.0,71.0,1502.0,51.0,18.0,18.0,0.0,0.0,54.0
2023-09-10,4356.0,87.0,71.0,1502.0,49.0,17.0,18.0,0.0,0.0,54.0
2023-09-11,4356.0,87.0,71.0,1502.0,49.0,17.0,17.0,0.0,0.0,54.0
